time;index.bend;thumb.bend;little.bend;middle.bend;ring.bend;little.pressure;index.pressure;middle.pressure;thumb.pressure;ring.pressure;emg;orientEulX;orientEulY;orientEulZ;orientQuatX;orientQuatY;orientQuatZ;orientQuatW;linacceleX;linacceleY;linaccelerZ
7667043;5408;4381;5841;5625;5161;477;15;27;15;30;8191;5725;-245;-162;1373;2223;306;16171;0;0;0
7667083;5405;4388;5848;5624;5164;473;30;34;22;27;8191;5725;-245;-162;1373;2223;306;16171;0;0;0
7667123;5397;4388;5848;5624;5161;476;19;23;19;23;8191;5725;-245;-162;1372;2224;306;16171;0;-11;0
7667163;5401;4381;5849;5628;5161;476;22;30;26;27;8191;5725;-245;-162;1372;2224;306;16171;0;0;0
7667203;5405;4384;5848;5621;5164;473;23;34;22;26;8191;5725;-245;-162;1372;2224;306;16171;0;0;0
7667243;5401;4392;5848;5625;5160;480;22;27;11;26;8191;5725;-245;-162;1373;2224;306;16171;0;0;0
7667283;5404;4381;5848;5624;5161;480;18;27;18;27;8191;5725;-245;-162;1373;2224;306;16171;0;0;0
7667323;5405;4381;5853;5621;5160;476;22;19;18;23;8191;5725;-245;-162;1373;2224;306;16171;0;0;0
7667363;5408;4384;5845;5621;5160;469;26;30;19;26;8191;5725;-245;-162;1373;2224;306;16171;-13;0;0
7667403;5401;4388;5845;5628;5164;477;15;27;23;27;8191;5725;-245;-162;1372;2225;306;16171;0;0;0
7667443;5405;4388;5844;5625;5161;472;30;23;22;23;8191;5725;-245;-162;1372;2225;306;16171;0;0;0
7667483;5400;4388;5848;5624;5157;476;27;26;18;22;8191;5725;-245;-162;1372;2225;306;16171;0;0;0
7667523;5400;4381;5848;5621;5160;472;26;27;22;26;8191;5725;-245;-162;1373;2225;306;16171;0;0;0
7667563;5405;4384;5845;5625;5157;476;27;30;18;19;8191;5725;-245;-162;1373;2225;306;16171;0;0;0
7667603;5405;4385;5852;5617;5164;473;15;30;26;22;8191;5725;-245;-162;1373;2225;306;16171;0;0;0
7667643;5409;4385;5848;5624;5168;484;22;26;11;27;8191;5725;-245;-162;1372;2225;305;16171;0;0;0
7667683;5409;4389;5852;5629;5160;473;30;26;22;35;8191;5725;-245;-162;1372;2225;305;16171;0;0;0
7667723;5404;4384;5853;5624;5161;484;26;30;22;22;8191;5725;-245;-162;1372;2225;305;16171;0;0;0
7667763;5404;4385;5845;5628;5157;473;27;38;15;19;8191;5725;-245;-162;1372;2225;305;16171;0;0;0
7667803;5404;4388;5844;5621;5161;477;26;23;23;23;8191;5725;-245;-162;1373;2225;306;16171;0;0;0
7667843;5404;4388;5852;5629;5157;477;26;30;18;26;8191;5725;-245;-162;1373;2225;305;16171;0;0;0
7667883;5416;4385;5845;5628;5157;480;22;26;15;26;8191;5725;-245;-162;1372;2226;305;16171;0;0;0
7667923;5408;4384;5848;5621;5165;484;15;26;22;23;8191;5725;-245;-162;1372;2226;305;16171;0;0;0
7667963;5405;4388;5845;5625;5161;480;34;27;19;26;8191;5725;-245;-162;1372;2226;305;16171;0;0;0
7668003;5404;4385;5845;5625;5160;481;19;31;18;27;8191;5725;-245;-162;1372;2226;305;16171;0;0;0
7668043;5404;4388;5849;5628;5160;476;27;27;22;26;8191;5725;-245;-162;1372;2226;305;16171;0;0;0
7668083;5401;4384;5845;5621;5161;477;22;23;19;26;8191;5725;-245;-162;1372;2226;305;16171;0;0;0
7668123;5408;4384;5845;5624;5157;476;27;30;19;27;8191;5725;-245;-162;1372;2226;305;16171;0;0;0
7668163;5405;4392;5852;5624;5160;480;23;26;14;22;8191;5725;-245;-162;1372;2226;305;16171;0;0;0
7668203;5412;4389;5849;5628;5161;481;23;31;19;27;8191;5725;-245;-162;1372;2226;305;16171;0;0;0
7668243;5405;4384;5848;5625;5160;488;22;27;23;26;8191;5725;-245;-162;1372;2226;305;16171;0;0;0
7668283;5405;4389;5844;5617;5161;476;26;27;19;27;8191;5725;-245;-162;1372;2226;305;16171;0;0;0
