time;ring.bend;index.bend;little.pressure;emg;thumb.bend;index.pressure;little.bend;middle.pressure;middle.bend;ring.pressure;thumb.pressure;imu.orientEulX;imu.orientEulY;imu.orientEulZ;imu.orientQuatX;imu.orientQuatY;imu.orientQuatZ;imu.orientQuatW;imu.linacceleX;imu.linacceleY;imu.linaccelerZ
27165211;5141;5449;1293;2108;26;14;5652;43;5657;31;4965;5753;258;-334;2894;-2330;60;15957;0;0;0
27165258;5136;5445;1292;2069;26;19;5656;43;5669;30;4969;5753;258;-334;2894;-2330;60;15957;0;0;0
27165306;5141;5456;1289;2041;18;27;5657;43;5664;27;4968;5753;258;-334;2894;-2330;60;15957;0;0;0
27165356;5137;5449;1293;2037;18;22;5660;46;5661;22;4965;5753;258;-334;2894;-2330;60;15957;0;0;0
27165405;5140;5456;1284;2032;31;19;5653;42;5664;30;4960;5753;258;-334;2894;-2330;60;15957;0;0;0
27165452;5141;5449;1293;2060;10;10;5657;43;5669;30;4964;5753;258;-334;2894;-2330;60;15957;0;0;0
27165499;5140;5452;1289;2032;15;19;5657;47;5661;34;4964;5753;258;-334;2894;-2330;60;15957;0;0;0
27165547;5140;5452;1296;2037;26;18;5652;43;5664;31;4964;5753;258;-334;2894;-2330;60;15957;0;0;0
27165597;5136;5452;1289;2041;26;7;5656;42;5661;27;4965;5753;258;-334;2894;-2330;60;15957;0;0;0
27165646;5152;5449;1292;2028;14;14;5652;43;5665;30;4961;5753;258;-334;2894;-2330;60;15957;0;0;0
27165693;5152;5456;1292;2037;19;18;5660;46;5668;27;4968;5753;258;-334;2894;-2330;60;15957;0;0;0
27165740;5152;5453;1289;2032;23;18;5657;50;5664;23;4965;5753;258;-334;2894;-2330;60;15957;0;0;0
27165788;5152;5456;1289;2029;18;22;5657;47;5664;26;4964;5753;258;-334;2894;-2330;60;15957;0;0;0
27165838;5152;5452;1296;2036;23;18;5656;43;5660;26;4968;5753;258;-334;2894;-2330;60;15957;0;0;0
27165886;5152;5453;1296;2033;19;18;5657;42;5669;31;4965;5753;258;-334;2894;-2330;60;15957;0;0;0
27165934;5145;5449;1292;2032;26;19;5656;50;5668;27;4968;5753;258;-334;2894;-2330;60;15957;0;0;0
27165980;5152;5452;1292;2017;11;22;5653;46;5664;31;4961;5753;258;-334;2894;-2330;60;15957;0;0;0
27166029;5152;5452;1296;2020;18;18;5656;50;5665;26;4964;5753;258;-334;2894;-2330;60;15957;0;0;0
27166078;5152;5452;1289;2021;18;14;5656;43;5664;19;4969;5753;258;-334;2894;-2330;60;15957;0;0;0
27166127;5140;5449;1293;2021;19;23;5656;35;5664;27;4964;5753;258;-334;2894;-2330;60;15957;0;0;0
27166175;5141;5449;1296;2028;10;30;5656;47;5668;27;4968;5753;258;-334;2894;-2330;60;15957;0;0;0
27166222;5137;5452;1293;2021;22;22;5657;46;5668;27;4961;5753;258;-334;2894;-2330;60;15957;0;0;0
27166268;5152;5452;1292;2016;19;30;5657;51;5665;31;4964;5753;258;-334;2894;-2330;60;15957;0;0;0
27166316;5152;5449;1293;2013;18;19;5657;47;5665;30;4960;5753;258;-334;2894;-2330;60;15957;0;0;0
27166362;5140;5449;1296;2016;19;19;5656;42;5660;26;4965;5753;258;-334;2894;-2330;60;15957;0;0;0
27166410;5137;5453;1292;2020;19;22;5652;43;5665;23;4964;5753;258;-334;2894;-2330;60;15957;0;0;0
27166459;5137;5453;1296;2005;14;22;5656;50;5665;30;4964;5753;258;-334;2894;-2330;60;15957;0;0;0
27166507;5152;5452;1292;2021;26;22;5656;42;5665;30;4965;5753;258;-334;2894;-2330;60;15957;0;0;0
27166554;5117;5452;1292;2025;23;19;5660;39;5668;27;4965;5753;258;-334;2894;-2330;60;15957;0;0;0
27166603;5152;5453;1289;2012;26;10;5653;46;5664;30;4968;5753;258;-334;2894;-2330;60;15957;0;0;0
27166650;5152;5456;1293;2016;23;22;5656;47;5664;30;4961;5753;258;-334;2894;-2330;60;15957;0;0;0
27166699;5152;5448;1288;2013;19;14;5656;39;5665;27;4965;5753;258;-334;2894;-2330;60;15957;0;0;0
27166748;5140;5452;1293;2028;23;27;5653;43;5668;26;4968;5753;258;-334;2894;-2330;60;15957;0;0;0
27166794;5152;5453;1292;2040;26;22;5652;39;5661;30;4961;5753;258;-334;2894;-2330;60;15957;0;0;0
27166843;5144;5452;1292;2029;15;11;5653;46;5665;23;4964;5753;258;-334;2894;-2330;60;15957;0;0;0
27166891;5140;5448;1285;2036;26;26;5653;39;5664;27;4965;5753;258;-334;2894;-2330;60;15957;0;0;0
27166940;5117;5453;1296;2028;22;18;5652;38;5661;23;4968;5753;258;-334;2894;-2330;60;15957;0;0;0
27166988;5152;5452;1300;2029;26;18;5656;47;5665;27;4964;5753;258;-334;2894;-2330;60;15957;0;0;0
27167034;5152;5452;1292;2033;22;26;5652;31;5664;26;4968;5753;258;-334;2894;-2330;60;15957;0;0;0
27167083;5140;5453;1293;2024;26;19;5657;43;5664;31;4965;5753;258;-334;2894;-2330;60;15957;0;0;0
27167164;5152;5452;1289;2069;26;18;5653;43;5665;34;4969;5753;258;-334;2894;-2330;60;15957;0;0;0
27167212;5137;5449;1288;2041;22;22;5657;42;5660;27;4961;5753;258;-334;2894;-2330;60;15957;0;0;0
27167261;5140;5452;1292;2021;23;18;5653;46;5664;26;4964;5753;258;-334;2894;-2330;60;15957;0;0;0
27167309;5152;5452;1292;2033;14;30;5653;42;5665;27;4965;5753;258;-334;2894;-2330;60;15957;0;0;0
27167360;5152;5449;1292;2032;22;22;5653;47;5665;26;4964;5753;258;-334;2894;-2330;60;15957;0;0;0
27167407;5152;5456;1289;2036;14;19;5653;42;5669;35;4968;5753;258;-334;2894;-2330;60;15957;0;0;0
27167454;5152;5448;1297;2033;18;15;5660;46;5664;31;4964;5753;258;-334;2894;-2330;60;15957;0;0;0
27167502;5140;5452;1293;2020;23;22;5664;47;5665;26;4964;5753;258;-334;2894;-2330;60;15957;0;0;0
27167551;5140;5453;1292;2041;31;19;5657;42;5668;23;4964;5753;258;-334;2894;-2330;60;15957;0;0;0
27167601;5133;5453;1289;2025;19;26;5656;43;5668;23;4964;5753;258;-334;2894;-2330;60;15957;0;0;0
27167648;5152;5453;1292;2040;26;22;5660;43;5665;31;4968;5753;258;-334;2894;-2330;60;15957;0;0;0
27167695;5152;5452;1288;2032;23;18;5656;47;5669;30;4965;5753;258;-334;2894;-2330;60;15957;0;0;0
27167743;5140;5452;1293;2021;19;19;5656;43;5664;26;4965;5753;258;-334;2894;-2330;60;15957;0;0;0
27167792;5141;5456;1288;2041;18;23;5660;51;5668;22;4964;5753;258;-334;2894;-2330;60;15957;0;0;0
27167841;5140;5456;1292;2032;19;26;5653;43;5669;22;4964;5753;258;-334;2894;-2330;60;15957;0;0;0
27167888;5152;5452;1288;2037;18;22;5656;42;5664;26;4961;5753;258;-334;2894;-2330;60;15957;0;0;0
27167935;5152;5452;1289;2032;19;18;5653;39;5668;15;4961;5753;258;-334;2894;-2330;60;15957;0;0;0
27167984;5152;5452;1296;2024;22;18;5656;50;5669;26;4964;5753;258;-334;2894;-2330;60;15957;0;0;0
27168031;5140;5452;1292;2037;19;15;5657;43;5664;31;4964;5753;258;-334;2894;-2330;60;15957;0;0;0
27168078;5137;5453;1288;2028;26;15;5657;46;5661;34;4968;5753;258;-334;2894;-2330;60;15957;0;0;0
27168126;5140;5449;1296;2028;14;22;5657;43;5668;26;4961;5753;258;-334;2894;-2330;60;15957;0;0;0
27168174;5141;5456;1293;2028;34;18;5660;46;5664;23;4965;5753;258;-334;2894;-2330;60;15957;0;0;0
27168219;5152;5456;1293;2017;18;7;5656;50;5661;30;4965;5753;258;-334;2894;-2330;60;15957;0;0;0
27168266;5137;5449;1289;2024;22;14;5652;39;5664;26;4964;5753;258;-334;2894;-2330;60;15957;0;0;0
27168315;5152;5452;1293;2028;22;31;5661;42;5664;23;4965;5753;258;-334;2894;-2330;60;15957;0;0;0
27168365;5152;5452;1288;2033;26;26;5656;43;5661;23;4961;5753;258;-334;2894;-2330;60;15957;0;0;0
27168413;5140;5453;1288;2037;23;15;5656;39;5664;23;4964;5753;258;-334;2894;-2330;60;15957;0;0;0
27168460;5152;5452;1297;2029;18;14;5656;54;5664;27;4968;5753;258;-334;2894;-2330;60;15957;0;0;0
27168507;5141;5452;1292;2033;19;22;5656;46;5665;27;4961;5753;258;-334;2894;-2330;60;15957;0;0;0
27168556;5137;5449;1293;2028;18;22;5660;42;5664;23;4961;5753;258;-334;2894;-2330;60;15957;0;0;0
27168606;5152;5452;1292;2040;22;11;5660;42;5661;23;4965;5753;258;-334;2894;-2330;60;15957;0;0;0
27168655;5140;5453;1289;2040;27;11;5657;50;5660;30;4973;5753;258;-334;2894;-2330;60;15957;0;0;0
27168703;5152;5453;1285;2036;19;23;5656;43;5664;23;4965;5753;258;-334;2894;-2330;60;15957;0;0;0
27168749;5144;5452;1297;2064;30;14;5656;47;5669;22;4968;5753;258;-334;2894;-2330;60;15957;0;0;0
27168797;5140;5449;1296;2045;23;18;5660;39;5669;26;4961;5753;258;-334;2894;-2330;60;15957;0;0;0
27168847;5152;5453;1296;2061;15;19;5653;43;5664;23;4972;5753;258;-334;2894;-2330;60;15957;0;0;0
27168896;5140;5456;1292;2068;7;10;5657;39;5665;26;4965;5753;258;-334;2894;-2330;60;15957;0;0;0
27168944;5152;5449;1296;2032;14;23;5653;50;5673;30;4964;5753;258;-334;2894;-2330;60;15957;0;0;0
